Source;Target;Type
6112;8583;Undirected
6112;335340;Undirected
6112;8866;Undirected
6112;8870;Undirected
6112;8583;Undirected
6112;8583;Undirected
6112;8583;Undirected
6112;18401;Undirected
6112;21852;Undirected
6112;18401;Undirected
6112;21852;Undirected
6112;175949;Undirected
6112;8583;Undirected
6112;8583;Undirected
6112;175949;Undirected
6112;18087;Undirected
6112;8583;Undirected
6112;8583;Undirected
6112;8583;Undirected
6362;40433;Undirected
6362;1321636;Undirected
6362;40433;Undirected
6362;239085;Undirected
6362;239085;Undirected
6362;239085;Undirected
6362;239085;Undirected
6362;239085;Undirected
6362;1321636;Undirected
6362;40433;Undirected
8166;146629;Undirected
8166;203082;Undirected
8166;738826;Undirected
8166;203082;Undirected
8166;212814;Undirected
8166;146629;Undirected
8166;201168;Undirected
8166;203082;Undirected
8166;155168;Undirected
8166;201168;Undirected
8166;155168;Undirected
8166;212814;Undirected
8166;206881;Undirected
8166;155168;Undirected
8166;212814;Undirected
8166;155168;Undirected
8166;212814;Undirected
8166;201168;Undirected
8166;203082;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;32397;Undirected
8583;76836;Undirected
8583;76836;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;76480;Undirected
8583;32397;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;76480;Undirected
8583;8866;Undirected
8583;76480;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;76480;Undirected
8583;8870;Undirected
8583;76480;Undirected
8583;297380;Undirected
8583;146629;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;297380;Undirected
8583;297380;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;146629;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;32397;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;76836;Undirected
8583;76480;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;76480;Undirected
8583;76836;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;32397;Undirected
8583;76836;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;32397;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;335340;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;76836;Undirected
8583;8870;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;8870;Undirected
8583;8866;Undirected
8583;76836;Undirected
8583;8866;Undirected
8583;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;76480;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;76480;Undirected
8866;8870;Undirected
8866;76480;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;76480;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
8866;8870;Undirected
